Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
パティスリー アン デュ トン プール ラ メゾン,愛知県稲沢市駅前1-12-11 1F,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/aichi/A2302/A230201/23041407/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%20%E3%82%A2%E3%83%B3%20%E3%83%87%E3%83%A5%20%E3%83%88%E3%83%B3%20%E3%83%97%E3%83%BC%E3%83%AB%20%E3%83%A9%20%E3%83%A1%E3%82%BE%E3%83%B3%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E7%A8%B2%E6%B2%A2%E5%B8%82%E9%A7%85%E5%89%8D1-12-11%201F,35.2536457,136.8198230,2020,スイーツ EAST,sweets_east,
シンフラ,埼玉県志木市幸町3-4-50,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/saitama/A1103/A110302/11035335/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%B3%E3%83%95%E3%83%A9%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%BF%97%E6%9C%A8%E5%B8%82%E5%B9%B8%E7%94%BA3-4-50,35.8223931,139.5648300,2020,スイーツ EAST,sweets_east,
シュトラウス,青森県青森市新町1-13-21,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/aomori/A0201/A020101/2000092/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%A5%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9%20%E9%9D%92%E6%A3%AE%E7%9C%8C%E9%9D%92%E6%A3%AE%E5%B8%82%E6%96%B0%E7%94%BA1-13-21,40.8265177,140.7387214,2020,スイーツ EAST,sweets_east,
歐林洞 鎌倉本店,神奈川県鎌倉市雪ノ下2-12-18,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/kanagawa/A1404/A140402/14001686/,https://www.google.com/maps/search/?api=1&query=%E6%AD%90%E6%9E%97%E6%B4%9E%20%E9%8E%8C%E5%80%89%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E9%9B%AA%E3%83%8E%E4%B8%8B2-12-18,35.3282385,139.5557908,2020,スイーツ EAST,sweets_east,
ピュイサンス,神奈川県横浜市青葉区みたけ台31-29,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140202/14003354/,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%A5%E3%82%A4%E3%82%B5%E3%83%B3%E3%82%B9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E3%81%BF%E3%81%9F%E3%81%91%E5%8F%B031-29,35.5556800,139.5200932,2020,スイーツ EAST,sweets_east,
甘酒茶屋,神奈川県足柄下郡箱根町畑宿二子山395-1,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/kanagawa/A1410/A141001/14001260/,https://www.google.com/maps/search/?api=1&query=%E7%94%98%E9%85%92%E8%8C%B6%E5%B1%8B%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E7%95%91%E5%AE%BF%E4%BA%8C%E5%AD%90%E5%B1%B1395-1,35.2022444,139.0487800,2020,スイーツ EAST,sweets_east,
川上屋 本店,岐阜県中津川市本町3-1-8,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/gifu/A2103/A210303/21000034/,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E4%B8%8A%E5%B1%8B%20%E6%9C%AC%E5%BA%97%20%E5%B2%90%E9%98%9C%E7%9C%8C%E4%B8%AD%E6%B4%A5%E5%B7%9D%E5%B8%82%E6%9C%AC%E7%94%BA3-1-8,35.4945607,137.5007643,2020,スイーツ EAST,sweets_east,
栗きんとん本家　すや 本店,岐阜県中津川市新町2-40,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/gifu/A2103/A210303/21000030/,https://www.google.com/maps/search/?api=1&query=%E6%A0%97%E3%81%8D%E3%82%93%E3%81%A8%E3%82%93%E6%9C%AC%E5%AE%B6%E3%80%80%E3%81%99%E3%82%84%20%E6%9C%AC%E5%BA%97%20%E5%B2%90%E9%98%9C%E7%9C%8C%E4%B8%AD%E6%B4%A5%E5%B7%9D%E5%B8%82%E6%96%B0%E7%94%BA2-40,35.4982773,137.5058105,2020,スイーツ EAST,sweets_east,
アボンドンス,静岡県浜松市中央区住吉2丁目14-27,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/shizuoka/A2202/A220201/22003393/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%9C%E3%83%B3%E3%83%89%E3%83%B3%E3%82%B9%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%BD%8F%E5%90%892%E4%B8%81%E7%9B%AE14-27,34.7307914,137.7271669,2020,スイーツ EAST,sweets_east,
ツバメヤ 柳ヶ瀬本店,岐阜県岐阜市日ノ出町1-20 ロイヤルビル 1F,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/gifu/A2101/A210101/21009683/,https://www.google.com/maps/search/?api=1&query=%E3%83%84%E3%83%90%E3%83%A1%E3%83%A4%20%E6%9F%B3%E3%83%B6%E7%80%AC%E6%9C%AC%E5%BA%97%20%E5%B2%90%E9%98%9C%E7%9C%8C%E5%B2%90%E9%98%9C%E5%B8%82%E6%97%A5%E3%83%8E%E5%87%BA%E7%94%BA1-20%20%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%93%E3%83%AB%201F,35.4184525,136.7592695,2020,スイーツ EAST,sweets_east,
小倉屋,茨城県水戸市笠原町101-5,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/ibaraki/A0801/A080101/8000238/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%80%89%E5%B1%8B%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E6%B0%B4%E6%88%B8%E5%B8%82%E7%AC%A0%E5%8E%9F%E7%94%BA101-5,36.3431114,140.4569235,2020,スイーツ EAST,sweets_east,
栗の木テラス 小布施店,長野県上高井郡小布施町大字小布施中町784,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/nagano/A2001/A200106/20000669/,https://www.google.com/maps/search/?api=1&query=%E6%A0%97%E3%81%AE%E6%9C%A8%E3%83%86%E3%83%A9%E3%82%B9%20%E5%B0%8F%E5%B8%83%E6%96%BD%E5%BA%97%20%E9%95%B7%E9%87%8E%E7%9C%8C%E4%B8%8A%E9%AB%98%E4%BA%95%E9%83%A1%E5%B0%8F%E5%B8%83%E6%96%BD%E7%94%BA%E5%A4%A7%E5%AD%97%E5%B0%8F%E5%B8%83%E6%96%BD%E4%B8%AD%E7%94%BA784,36.6963314,138.3164039,2020,スイーツ EAST,sweets_east,
パブロフ 元町本店,神奈川県横浜市中区山下町105 1F,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140105/14046956/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%96%E3%83%AD%E3%83%95%20%E5%85%83%E7%94%BA%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA105%201F,35.4423744,139.6493312,2020,スイーツ EAST,sweets_east,
ベルグの４月 本店,神奈川県横浜市青葉区美しが丘2-19-5,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140201/14000432/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%AB%E3%82%B0%E3%81%AE%EF%BC%94%E6%9C%88%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E7%BE%8E%E3%81%97%E3%81%8C%E4%B8%982-19-5,35.5813351,139.5590312,2020,スイーツ EAST,sweets_east,
ロア レギューム 朝霞本店,埼玉県朝霞市三原3-32-10,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/saitama/A1103/A110302/11000029/,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%82%A2%20%E3%83%AC%E3%82%AE%E3%83%A5%E3%83%BC%E3%83%A0%20%E6%9C%9D%E9%9C%9E%E6%9C%AC%E5%BA%97%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%9C%9D%E9%9C%9E%E5%B8%82%E4%B8%89%E5%8E%9F3-32-10,35.8190103,139.5773897,2020,スイーツ EAST,sweets_east,
アンジェリック ヴォヤージュ 本店,北海道函館市弥生町3-11,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/hokkaido/A0105/A010501/1026155/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%83%E3%82%AF%20%E3%83%B4%E3%82%A9%E3%83%A4%E3%83%BC%E3%82%B8%E3%83%A5%20%E6%9C%AC%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%87%BD%E9%A4%A8%E5%B8%82%E5%BC%A5%E7%94%9F%E7%94%BA3-11,41.7679745,140.7091754,2020,スイーツ EAST,sweets_east,
とらや工房,静岡県御殿場市東山1022-1,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/shizuoka/A2204/A220402/22004106/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%89%E3%82%84%E5%B7%A5%E6%88%BF%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E5%BE%A1%E6%AE%BF%E5%A0%B4%E5%B8%82%E6%9D%B1%E5%B1%B11022-1,35.2953834,138.9599111,2020,スイーツ EAST,sweets_east,
たい焼き なみへい,神奈川県鎌倉市長谷1-8-10,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/kanagawa/A1404/A140402/14032944/,https://www.google.com/maps/search/?api=1&query=%E3%81%9F%E3%81%84%E7%84%BC%E3%81%8D%20%E3%81%AA%E3%81%BF%E3%81%B8%E3%81%84%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E9%95%B7%E8%B0%B71-8-10,35.3134510,139.5387625,2020,スイーツ EAST,sweets_east,
ピエールプレシュウズ 本店,愛知県名古屋市千種区丸山町3-83 メナージュマルヤマ,食べログ スイーツ EAST 百名店 2020,https://tabelog.com/aichi/A2301/A230107/23052549/,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%82%A8%E3%83%BC%E3%83%AB%E3%83%97%E3%83%AC%E3%82%B7%E3%83%A5%E3%82%A6%E3%82%BA%20%E6%9C%AC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E4%B8%B8%E5%B1%B1%E7%94%BA3-83%20%E3%83%A1%E3%83%8A%E3%83%BC%E3%82%B8%E3%83%A5%E3%83%9E%E3%83%AB%E3%83%A4%E3%83%9E,35.1610109,136.9477512,2020,スイーツ EAST,sweets_east,
