Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
旬菜処 びいどろ,沖縄県那覇市牧志1-11-1 2F,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/okinawa/A4701/A470101/47002122/,https://www.google.com/maps/search/?api=1&query=%E6%97%AC%E8%8F%9C%E5%87%A6%20%E3%81%B3%E3%81%84%E3%81%A9%E3%82%8D%20%E6%B2%96%E7%B8%84%E7%9C%8C%E9%82%A3%E8%A6%87%E5%B8%82%E7%89%A7%E5%BF%971-11-1%202F,26.2171481,127.6832888,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
炭火焼鳥いこか 西天満,大阪府大阪市北区西天満4-10-7 オイコス西天満 1F-101,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27136696/,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%81%AB%E7%84%BC%E9%B3%A5%E3%81%84%E3%81%93%E3%81%8B%20%E8%A5%BF%E5%A4%A9%E6%BA%80%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%A5%BF%E5%A4%A9%E6%BA%804-10-7%20%E3%82%AA%E3%82%A4%E3%82%B3%E3%82%B9%E8%A5%BF%E5%A4%A9%E6%BA%80%201F-101,34.6968674,135.5029548,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
小料理屋 そのへん,福岡県福岡市博多区冷泉町8-21 2F,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400106/40056775/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E6%96%99%E7%90%86%E5%B1%8B%20%E3%81%9D%E3%81%AE%E3%81%B8%E3%82%93%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E5%86%B7%E6%B3%89%E7%94%BA8-21%202F,33.5950728,130.4106939,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
お酒と博多小皿 たなかだ,福岡県福岡市中央区清川3-16-19 アーバントップ　１Ｆ,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400104/40000919/,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E9%85%92%E3%81%A8%E5%8D%9A%E5%A4%9A%E5%B0%8F%E7%9A%BF%20%E3%81%9F%E3%81%AA%E3%81%8B%E3%81%A0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B8%85%E5%B7%9D3-16-19%20%E3%82%A2%E3%83%BC%E3%83%90%E3%83%B3%E3%83%88%E3%83%83%E3%83%97%E3%80%80%EF%BC%91%EF%BC%A6,33.5767890,130.4114272,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
第8八千代丸,福岡県福岡市博多区須崎町6-25,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400102/40054785/,https://www.google.com/maps/search/?api=1&query=%E7%AC%AC8%E5%85%AB%E5%8D%83%E4%BB%A3%E4%B8%B8%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E9%A0%88%E5%B4%8E%E7%94%BA6-25,33.5975684,130.4030989,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
なか栄,京都府京都市下京区西七条赤社町32,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260203/26010910/,https://www.google.com/maps/search/?api=1&query=%E3%81%AA%E3%81%8B%E6%A0%84%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E8%A5%BF%E4%B8%83%E6%9D%A1%E8%B5%A4%E7%A4%BE%E7%94%BA32,34.9946411,135.7361021,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
赤垣屋,京都府京都市左京区孫橋町9,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260302/26001072/,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E5%9E%A3%E5%B1%8B%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%AD%AB%E6%A9%8B%E7%94%BA9,35.0128545,135.7725533,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
さかな工房　丸万,愛媛県松山市祇園町3-21,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/ehime/A3801/A380101/38005974/,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%81%8B%E3%81%AA%E5%B7%A5%E6%88%BF%E3%80%80%E4%B8%B8%E4%B8%87%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E6%9D%BE%E5%B1%B1%E5%B8%82%E7%A5%87%E5%9C%92%E7%94%BA3-21,33.8300332,132.7734050,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
呑小路 やま岸,京都府京都市中京区下白山町293-3,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26037932/,https://www.google.com/maps/search/?api=1&query=%E5%91%91%E5%B0%8F%E8%B7%AF%20%E3%82%84%E3%81%BE%E5%B2%B8%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E4%B8%8B%E7%99%BD%E5%B1%B1%E7%94%BA293-3,35.0097830,135.7656625,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
食堂 黒うさぎ,大阪府大阪市北区天神橋5-8-6,食べログ 居酒屋 WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270103/27136227/,https://www.google.com/maps/search/?api=1&query=%E9%A3%9F%E5%A0%82%20%E9%BB%92%E3%81%86%E3%81%95%E3%81%8E%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E7%A5%9E%E6%A9%8B5-8-6,34.7079741,135.5110647,2025,居酒屋 WEST,izakaya_west,発表日：2025年10月1日
